LocationID,Borough,Zone,service_zone,Latitude,Longitude,
1,EWR,Newark Airport,EWR,40.6895,-74.1745,
2,Queens,Jamaica Bay,Boro Zone,40.6316,-73.8323,
3,Bronx,Allerton/Pelham Gardens,Boro Zone,40.8674,-73.8684,
4,Manhattan,Alphabet City,Yellow Zone,40.7272,-73.9814,
5,Staten Island,Arden Heights,Boro Zone,40.5531,-74.1867,
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,40.6062,-74.0697,
7,Queens,Astoria,Boro Zone,40.7645,-73.9249,
8,Queens,Astoria Park,Boro Zone,40.7743,-73.9318,
9,Queens,Auburndale,Boro Zone,40.7645,-73.7909,
10,Queens,Baisley Park,Boro Zone,40.6768,-73.7948,
11,Brooklyn,Bath Beach,Boro Zone,40.6075,-73.9814,
12,Manhattan,Battery Park,Yellow Zone,40.7074,-74.0158,
13,Manhattan,Battery Park City,Yellow Zone,40.7114,-74.0157,
14,Brooklyn,Bay Ridge,Boro Zone,40.6334,-74.027,
15,Queens,Bay Terrace/Fort Totten,Boro Zone,40.7726,-73.7852,
16,Queens,Bayside,Boro Zone,40.7679,-73.773,
17,Brooklyn,Bedford,Boro Zone,40.6844,-73.9338,
18,Bronx,Bedford Park,Boro Zone,40.8694,-73.8871,
19,Queens,Bellerose,Boro Zone,40.7326,-73.7351,
20,Bronx,Belmont,Boro Zone,40.846,-73.8897,
21,Brooklyn,Bensonhurst East,Boro Zone,40.6093,-73.9921,
22,Brooklyn,Bensonhurst West,Boro Zone,40.6093,-73.9948,
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,40.6123,-74.1465,
24,Manhattan,Bloomingdale,Yellow Zone,40.7903,-73.9777,
25,Brooklyn,Boerum Hill,Boro Zone,40.6868,-73.9805,
26,Brooklyn,Borough Park,Boro Zone,40.6456,-73.9952,
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,40.5777,-73.9745,
28,Queens,Briarwood/Jamaica Hills,Boro Zone,40.7085,-73.8217,
29,Brooklyn,Brighton Beach,Boro Zone,40.5773,-73.9642,
30,Queens,Broad Channel,Boro Zone,40.607,-73.8176,
31,Bronx,Bronx Park,Boro Zone,40.8578,-73.8694,
32,Bronx,Bronxdale,Boro Zone,40.8607,-73.8638,
33,Brooklyn,Brooklyn Heights,Boro Zone,40.6968,-73.9966,
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,40.7041,-73.9747,
35,Brooklyn,Brownsville,Boro Zone,40.6622,-73.9177,
36,Brooklyn,Bushwick North,Boro Zone,40.7118,-73.9209,
37,Brooklyn,Bushwick South,Boro Zone,40.7107,-73.9194,
38,Queens,Cambria Heights,Boro Zone,40.71,-73.7596,
39,Brooklyn,Canarsie,Boro Zone,40.6469,-73.905,
40,Brooklyn,Carroll Gardens,Boro Zone,40.6832,-73.9954,
41,Manhattan,Central Harlem,Boro Zone,40.8198,-73.9442,
42,Manhattan,Central Harlem North,Boro Zone,40.8228,-73.9442,
43,Manhattan,Central Park,Yellow Zone,40.7851,-73.9683,
44,Staten Island,Charleston/Tottenville,Boro Zone,40.5301,-74.25,
45,Manhattan,Chinatown,Yellow Zone,40.7143,-73.997,
46,Bronx,City Island,Boro Zone,40.8498,-73.7784,
47,Bronx,Claremont/Bathgate,Boro Zone,40.8445,-73.9035,
48,Manhattan,Clinton East,Yellow Zone,40.7591,-73.9799,
49,Brooklyn,Clinton Hill,Boro Zone,40.6867,-73.958,
50,Manhattan,Clinton West,Yellow Zone,40.758,-73.9845,
51,Bronx,Co-Op City,Boro Zone,40.8722,-73.8281,
52,Brooklyn,Cobble Hill,Boro Zone,40.6887,-73.9946,
53,Queens,College Point,Boro Zone,40.773,-73.8443,
